platform,source_category,Category,normalized_Brand,product_family,Product Name,product_title,Price (USD),Price (USD),price_valid,raw_condition,normalized_condition,raw_sku,Normalized SKU,Total Items Sold (Product),Location of Product,Seller Name,Product URL,Positive Review Percentage % (seller),Number of Reviews (seller),demo_priority_flag,demo_priority_score,demo_eligible,Brand,Product Name,Condition,Location
ebay,Air jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,Air Jordan MVP White Metallic Gold DZ4475 170 BRAND NEW MEN,Air Jordan MVP White Metallic Gold DZ4475 170 BRAND NEW MEN,89.99,89.99,True,New with box,New,DZ4475,DZ4475,13,Jackson,MES Enterprises- Athletes Shop!,https://www.ebay.com/itm/157433150456,99.7,8335,0,0.052,False,Jordan,Air Jordan Mvp White Metallic Gold Dz4475 170 Brand New Men,New / Unworn,Jackson
ebay,Air jordan sneakers,Sneakers,Jordan,Jordan Spizike,Men's Jordan Spizike Low Black/Black-Anthracite (FQ1759 001),Men's Jordan Spizike Low Black/Black-Anthracite (FQ1759 001),156.7,156.7,True,New with box,New,FQ1759,FQ1759,1,Chicago,The Spot Chicago,https://www.ebay.com/itm/127568876401,99.7,42346,0,0.004,False,Jordan,Men'S Jordan Spizike Low Black/Black-Anthracite (Fq1759 001),New / Unworn,Chicago
ebay,Air jordan sneakers,Sneakers,Jordan,Air Jordan 1,"Sapato Air Jordan 1 retro alto OG masculino tamanho 9 ""ar raro"" azul branco DZ5485 100","Sapato Air Jordan 1 retro alto OG masculino tamanho 9 ""ar raro"" azul branco DZ5485 100",12499,12499,True,"Novo, com caixa",New,DZ5485,DZ5485,,,OrlandoKicks,https://www.ebay.com/itm/287015354671,99.4,2218,1,10,False,Jordan,"Sapato Air Jordan 1 Retro Alto Og Masculino Tamanho 9 ""Ar Raro"" Azul Branco Dz5485 100",New / Unworn,
ebay,Air jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,JORDAN MENS STAY LOYAL BASKETBALL SHOES #DB2884 400,JORDAN MENS STAY LOYAL BASKETBALL SHOES #DB2884 400,79.99,79.99,True,New with box,New,DB2884,DB2884,2,Compton,sergioshoessale,https://www.ebay.com/itm/136326011254,99.7,8800,0,0.008,False,Jordan,Jordan Mens Stay Loyal Basketball Shoes #Db2884 400,New / Unworn,Compton
ebay,Air jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,Air Jordan Executive Wolf Grey/Universal Blue Sneaker 820240-007 Sz 10.5,Air Jordan Executive Wolf Grey/Universal Blue Sneaker 820240-007 Sz 10.5,257.6,257.6,True,Pre-owned - Excellent,Used - Excellent,820240-007,820240-007,,Round Lake,AH'OneStopShop,https://www.ebay.com/itm/127589509393,98.9,797,0,0,False,Jordan,Air Jordan Executive Wolf Grey/Universal Blue Sneaker 820240-007 Sz 10.5,Very Good / Like New,Round Lake
ebay,Air jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,Men's Jordan FLTCLB '91 Black/White (DC7329 002),Men's Jordan FLTCLB '91 Black/White (DC7329 002),125.95,125.95,True,New with box,New,DC7329,DC7329,1,Chicago,The Spot Chicago,https://www.ebay.com/itm/127439364620,99.7,42346,0,0.004,False,Jordan,Men'S Jordan Fltclb '91 Black/White (Dc7329 002),New / Unworn,Chicago
ebay,Air jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,Air Jordan XXXVIII (38) FIBA White FN7481-100 Mens Sizes 11-11.5,Air Jordan XXXVIII (38) FIBA White FN7481-100 Mens Sizes 11-11.5,11995,11995,True,New with box,New,FN7481-100,FN7481-100,,,Stockpile Goods,https://www.ebay.com/itm/335716135819,99.4,5082,0,0,False,Jordan,Air Jordan Xxxviii (38) Fiba White Fn7481-100 Mens Sizes 11-11.5,New / Unworn,
ebay,Air jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,"Jordans DC7330-106, 08-20-21 Size 8 UPC 00195866161146 Shoes Sneakers","Jordans DC7330-106, 08-20-21 Size 8 UPC 00195866161146 Shoes Sneakers",4744,4744,True,Pre-owned - Good,Used - Good,DC7330-106,DC7330-106,,,Full Cart Deals,https://www.ebay.com/itm/127528046525,99.7,16005,0,0,False,Jordan,"Jordans Dc7330-106, 08-20-21 Size 8 Upc 00195866161146 Shoes Sneakers",Good / Lightly Used,
ebay,Air jordan sneakers,Sneakers,Jordan,Jordan Spizike,Mens Size 13 Jordan Spizike Low Sail University Red White Sneakers FQ1759 116,Mens Size 13 Jordan Spizike Low Sail University Red White Sneakers FQ1759 116,94.99,94.99,True,New with box,New,FQ1759,FQ1759,1,Parrish,YH FOOTWEAR,https://www.ebay.com/itm/116811745239,99.7,7623,0,0.004,False,Jordan,Mens Size 13 Jordan Spizike Low Sail University Red White Sneakers Fq1759 116,New / Unworn,Parrish
ebay,Air jordan sneakers,Sneakers,Jordan,Jordan Spizike,Jordan Spizike Low White Neutral Grey - FQ1759-103,Jordan Spizike Low White Neutral Grey - FQ1759-103,144,144,True,New with box,New,FQ1759-103,FQ1759-103,1,Hong Kong,MXC OFFICIAL,https://www.ebay.com/itm/365906119389,98.4,5322,0,0.004,False,Jordan,Jordan Spizike Low White Neutral Grey - Fq1759-103,New / Unworn,Hong Kong
